# fleet-memory-observations v1 -- kernel-measured, read-only, regenerate with scripts/fleet-memory-observe.sh
# captured_unix	1788306799
# captured_utc	2026-09-01T23:53:19Z
# chain_height	34104
# chain_slot	55000
# chain_finalized_height	34016
# blocks_known	34329
# fork_overhang_blocks	225
# chain_epoch	1716
# slot_secs	30
# genesis_unix	1786656716
# anchor_error_secs	0
# blocks_per_day_measured	2827.2
# blocks_per_slot_measured	0.9817
# slots_per_day	2880
# blocks_per_day_window	slot 49382..55000 height 28589..34104
# rpc_source	139.84.205.54:16403
# validator_rows	63
#
box_ip	box_host	mem_total_mib	mem_avail_mib	cached_mib	nproc	unit	pid	vmhwm_mib	vmrss_mib	started_unix	mark_age_s	boot_height	lens_argv	lens_pgrep	lens_units	lens_datadirs
67.219.108.230	host652463	31866	20459	6440	12	bloch-n05	165209	1176.1	1145.5	1788138225	168574	28590	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n26	165404	1145.4	1128.0	1788138252	168547	28591	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n12	169753	1161.7	1120.5	1788145772	161027	28823	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n40	169888	1165.8	1132.2	1788145790	161009	28823	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n19	171871	1181.0	1134.6	1788148594	158205	28911	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n54	173775	1202.7	1140.6	1788152448	154351	29029	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n33	175628	1233.2	1165.4	1788155312	151487	29120	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n47	177661	1264.0	1189.7	1788158234	148565	29201	9	9	9	9
67.219.108.230	host652463	31866	20459	6440	12	bloch-n61	181187	1420.8	1275.0	1788175432	131367	29740	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n13	151302	1150.5	1131.8	1788141850	164949	28702	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n06	151456	1150.5	1127.1	1788141871	164928	28703	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n27	153774	1154.9	1113.9	1788145784	161015	28823	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n20	155598	1179.9	1134.8	1788148599	158200	28911	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n34	158846	1202.8	1147.0	1788152453	154346	29029	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n41	158945	1203.8	1143.8	1788152475	154324	29030	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n55	161454	1259.0	1186.0	1788158218	148581	29201	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n48	165063	1349.6	1257.1	1788164905	141894	29409	9	9	9	9
67.219.108.96	host652461	31866	20279	6358	12	bloch-n62	167654	1429.9	1354.7	1788175443	131356	29741	9	9	9	9
