id	target	file	killed	n_failed	failing_tests
H01-engine-shake-truncated	harness	crates/bloch-euvm/src/lib.rs	yes	3	kats_run_metered_and_within_budget,len_zero_vector_is_the_empty_message,shake256_opcode_matches_nist_for_all_applicable_vectors
H02-engine-sha256d-single	harness	crates/bloch-euvm/src/lib.rs	yes	1	sha256d_opcode_matches_nist_anchored_double_hash_for_all_vectors
H03-engine-eq-always-true	harness	crates/bloch-euvm/src/lib.rs	yes	2	sha256d_opcode_matches_nist_anchored_double_hash_for_all_vectors,shake256_opcode_matches_nist_for_all_applicable_vectors
H04-parser-no-len0-truncate	harness	conformance/euvm-conformance/src/lib.rs	yes	3	len_zero_vector_is_the_empty_message,sha256d_opcode_matches_nist_anchored_double_hash_for_all_vectors,shake256_opcode_matches_nist_for_all_applicable_vectors
H05-parser-drops-rows	harness	conformance/euvm-conformance/src/lib.rs	yes	5	corpus_counts_are_exactly_the_nist_counts,corpus_covers_the_32_byte_input_length,len_zero_vector_is_the_empty_message,sha256d_opcode_matches_nist_anchored_double_hash_for_all_vectors,shake256_opcode_matches_nist_for_all_applicable_vectors
H06-control-not-corrupted	harness	conformance/euvm-conformance/src/lib.rs	yes	2	sha256d_opcode_matches_nist_anchored_double_hash_for_all_vectors,shake256_opcode_matches_nist_for_all_applicable_vectors
H07-harness-swallow-vmerror	harness	conformance/euvm-conformance/src/lib.rs	yes	1	harness_surfaces_vm_errors_instead_of_reporting_them_as_mismatches
